;nom;joueurs;age;duree_minutes;image_url
77;Mindbug;Duo;8+;20;https://www.myludo.fr/img/jeux/1756655466/300/ck/62707.png
78;Nekojima;1 — 8;7+;15 — 30;https://www.myludo.fr/img/jeux/1755252458/300/cm/64160.png
79;Sky Team;Duo;12+;20;https://www.myludo.fr/img/jeux/1742642962/300/cm/64645.png
80;Faraway;2 — 6;10+;20;https://www.myludo.fr/img/jeux/1762765680/300/cp/67209.png
81;Papayoo;3 — 8;7+;30 — 60;https://www.myludo.fr/img/jeux/1726139714/300/bj/35247.png
82;Medieval Academy;1 — 5;8+;30 — 45;https://www.myludo.fr/img/jeux/1712754003/300/cs/70147.png
83;Rauha;2 — 5;10+;45;https://www.myludo.fr/img/jeux/1755429092/300/cj/61381.png
84;Radlands;Duo;14+;20 — 40;https://www.myludo.fr/img/jeux/1748671476/300/ce/56586.png
85;Défifoo;3 — 18;7+;20;https://www.myludo.fr/img/jeux/1737887350/300/cs/70458.png
86;Can'T Stop;2 — 4;7+;30;https://www.myludo.fr/img/jeux/1755775089/300/bu/46140.png
87;101;1 — 3;7+;30;https://www.myludo.fr/img/jeux/1726756214/300/cs/70732.png
88;La Marche Du Crabe;Duo;8+;15 — 30;https://www.myludo.fr/img/jeux/1725569909/300/bl/37796.png
89;RIP - Nature Morte;2 — 5;10+;15;https://www.myludo.fr/img/jeux/1751993318/300/cr/69137.png
90;Traîtres À Bord !;3 — 8;10+;20;https://www.myludo.fr/img/jeux/1757080426/300/cp/67722.png
91;The Mind - Le Devin;2 — 5;8+;20;https://www.myludo.fr/img/jeux/1724395348/300/cl/63959.png
92;5-Minutes Mystère - Le Musée Tutti Quanti;2 — 6;8+;30;https://www.myludo.fr/img/jeux/1761683063/300/ct/71929.png
93;Qawale;Duo;8+;15;https://www.myludo.fr/img/jeux/1733411514/300/ci/60339.png
94;Combo Fighter;2 — 4;12+;5 — 15;https://www.myludo.fr/img/jeux/1530186117/300/az/25355.png
95;Casting Shadows;2 — 4;12+;30 — 60;https://www.myludo.fr/img/jeux/1755420117/300/cs/70769.png
96;L'Etrange Noël De Monsieur Jack;2 — 6;10+;30 — 60;https://www.myludo.fr/img/jeux/1696519271/300/cs/70182.png
97;SpellBook;1 — 4;12+;45;https://www.myludo.fr/img/jeux/1756070054/300/cp/67822.png
98;Perspectives;2 — 6;12+;60 — 120;https://www.myludo.fr/img/jeux/1719122091/300/cr/69922.png
99;Alice Is Missing;3 — 5;16+;120+;https://www.myludo.fr/img/jeux/1738278639/300/cf/57209.png
100;Les Tours Ambulantes;1 — 6;8+;30;https://www.myludo.fr/img/jeux/1683375346/300/ci/60693.png
101;Color Flush;3 — 6;7+;20;https://www.myludo.fr/img/jeux/1684069918/300/cl/63986.png
102;Mech A Dream;2 — 4;10+;45;https://www.myludo.fr/img/jeux/1725710489/300/ci/60246.png
103;Uno;2 — 10;7+;30;https://www.myludo.fr/img/jeux/1741827319/300/cr/69586.png
104;Champions!;3 — 8;10+;30;https://www.myludo.fr/img/jeux/1740231249/300/cp/67482.png
105;Marvel Zombies - La Résistance Des Héros;1 — 4;14+;60;https://www.myludo.fr/img/jeux/1760210192/300/cr/69186.png
106;Knarr;2 — 4;10+;30;https://www.myludo.fr/img/jeux/1755419862/300/co/66225.png
107;Kéblo;2 — 8;7+;20;https://www.myludo.fr/img/jeux/1698170011/300/by/50560.png
108;Elawa;2 — 4;8+;20;https://www.myludo.fr/img/jeux/1741789752/300/cm/64343.png
109;Scooby-Doo !;1 — 5;10+;30 — 60;https://www.myludo.fr/img/jeux/1722250144/300/cj/61399.png
110;Splito;3 — 8;8+;15;https://www.myludo.fr/img/jeux/1758130690/300/cd/55570.png
111;TTMC 2;2 — 10;14+;30 — 60;https://www.myludo.fr/img/jeux/1759139128/300/cg/58301.png
112;Mamie Moule Maki;2 — 6;10+;30;https://www.myludo.fr/img/jeux/1761386447/300/ck/62351.png
113;After Us;1 — 6;14+;45;https://www.myludo.fr/img/jeux/1730277907/300/ch/59790.png
114;Akropolis;1 — 4;8+;25;https://www.myludo.fr/img/jeux/1753048416/300/cd/55664.png
115;Catan;3 — 6;10+;75 — 90;https://www.myludo.fr/img/jeux/1733907275/300/bb/27875.png
116;Cóatl;1 — 4;10+;30 — 60;https://www.myludo.fr/img/jeux/1739960151/300/bl/37641.png
117;River Dragons;2 — 6;8+;30;https://www.myludo.fr/img/jeux/1743534720/300/bs/44157.png
118;Dans Ma Vallée;2 — 5;8+;30 — 60;https://www.myludo.fr/img/jeux/1668674521/300/bc/28569.png
119;Turing Machine;1 — 4;14+;20 — 30;https://www.myludo.fr/img/jeux/1758531719/300/cg/58039.png
120;Cosmic Factory;2 — 6;10+;30 — 60;https://www.myludo.fr/img/jeux/1748671553/300/az/25701.png
121;Viticulture - Toscane;1 — 6;14+;60;https://www.myludo.fr/img/jeux/1706345940/300/at/19643.png
122;Les Sombres Royaumes De Valeria;1 — 5;13+;30 — 45;https://www.myludo.fr/img/jeux/1730019447/300/bz/51704.png
123;Escape The Dark Castle;1 — 4;14+;20 — 45;https://www.myludo.fr/img/jeux/1748796244/300/bt/45125.png
124;Hidden Leaders;2 — 6;10+;30;https://www.myludo.fr/img/jeux/1756706621/300/by/50714.png
125;Happy Little Dinosaurs;2 — 4;8+;30 — 60;https://www.myludo.fr/img/jeux/1725469204/300/cj/61099.png
126;Prophétie;2 — 6;10+;40;https://www.myludo.fr/img/jeux/1704233706/300/cj/61590.png
127;Vabanque;3 — 6;14+;45;https://www.myludo.fr/img/jeux/1679652186/300/bp/41985.png
128;Luna Capital;1 — 4;8+;45;https://www.myludo.fr/img/jeux/1753360336/300/ca/52538.png
129;300 - La Terre Et L'Eau;Duo;14+;40;https://www.myludo.fr/img/jeux/1740616655/300/bp/41853.png
130;Star Wars : Armada;2 — 6;12+;90 — 180;https://www.myludo.fr/img/jeux/1652854052/300/au/20225.png
131;Diplomacy;2 — 7;12+;240;https://www.myludo.fr/img/jeux/1705777260/300/aj/9713.png
132;Batailles De Westeros;Duo;14+;60;https://www.myludo.fr/img/jeux/1751347357/300/af/5453.png
133;Agricola - La Big Box;Duo;10+;30;https://www.myludo.fr/img/jeux/1704534806/300/bk/36712.png
134;Maracaibo;1 — 4;14+;60 — 120;https://www.myludo.fr/img/jeux/1715604356/300/bk/36968.png
135;Claustrophobia;Duo;14+;60;https://www.myludo.fr/img/jeux/1741155416/300/ah/7289.png
136;Patchistory;2 — 4;12+;60 — 120;https://www.myludo.fr/img/jeux/1758718296/300/ab/1404.png
137;Trio;3 — 6;7+;15;https://www.myludo.fr/img/jeux/1747309119/300/cj/61611.png
138;Mombasa;2 — 4;12+;75 — 150;https://www.myludo.fr/img/jeux/1677798090/300/aa/859.png
139;Zombicide : Invader;1 — 6;14+;60 — 180;https://www.myludo.fr/img/jeux/1678738564/300/bi/34384.png
140;Elysium;2 — 4;14+;60;https://www.myludo.fr/img/jeux/1698372327/300/ab/1291.png
